condition,metric,partition,nominal_cut,k,images,buildings,next_uncovered,fixed_expected_clusters,fixed_unseen_pool_mass,minority_unseen_mass
manual,sphere,complete,6,14,45,14,0.30061286274751525,7.4584077217940008,0.13845773312759591,0.022854509414484827
manual,sphere,complete,6,15,45,14,0.29281607884661237,7.813735081555448,0.1197326131489557,0.017195918738512662
manual,sphere,complete,6,16,45,14,0.28548189505945148,8.1596340908675451,0.10203871970353852,0.012496519087020645
manual,sphere,complete,6,17,45,14,0.27855747552162502,8.4967550500464313,0.085268081220739506,0.0086829011262324705
manual,sphere,complete,6,18,45,14,0.27200238188796538,8.8256563345121695,0.069332902917975253,0.0056870697127601186
manual,sphere,complete,9,1,45,14,0.53728279856426309,1,0.61651920237553215,0.19317544110372789
manual,sphere,complete,9,2,45,14,0.43412943045912938,1.6445831090682352,0.48214956775212359,0.16926722035329678
manual,sphere,complete,9,3,45,14,0.3857614803389246,2.1728955798393139,0.40584898036314726,0.14751479069874274
manual,sphere,complete,9,4,45,14,0.35472618842049453,2.6400701936538966,0.35258834385632309,0.12779177447622247
manual,sphere,complete,9,5,45,14,0.33184659412617418,3.0675296294850298,0.3110820773114964,0.10997594633634862
manual,sphere,complete,9,6,45,14,0.31378128084638607,3.4658527891197162,0.27667635389098072,0.093949233244189537
manual,sphere,complete,9,7,45,14,0.29893002849490935,3.8411950291938632,0.24707418591859984,0.079597714479269499
manual,sphere,complete,9,8,45,14,0.2863860368960876,4.1975675337626246,0.22097383065603601,0.066811621635568599
manual,sphere,complete,9,9,45,14,0.27557730905220473,4.5377899487180686,0.1975608297641116,0.055485338621522849
manual,sphere,complete,9,10,45,14,0.26611728654960137,4.8639498155583771,0.17629038349660306,0.045517401660024048
manual,sphere,complete,9,11,45,14,0.25773214285486012,5.1776540991526181,0.15678059832949337,0.036810499288419889
manual,sphere,complete,9,12,45,14,0.2502210096446647,5.4801808870001087,0.13875364596339809,0.029271472358513916
manual,sphere,complete,9,13,45,14,0.24343238399459513,5.7725768002074815,0.12200049947127432,0.022811314036565507
manual,sphere,complete,9,14,45,14,0.2372493590275257,6.055721778591165,0.10635872933559573,0.017345169803289911
manual,sphere,complete,9,15,45,14,0.23158007881052708,6.3303729854746145,0.091698160143611415,0.012792337453858221
manual,sphere,complete,9,16,45,14,0.22635145185981997,6.5971949516078379,0.077911462088416539,0.009076267097897394
manual,sphere,complete,9,17,45,14,0.2215048949412031,6.856780571322906,0.06490788489650566,0.0061245611594902367
manual,sphere,complete,9,18,45,14,0.21699322416713721,7.1096659963479185,0.052609003999694003,0.0038689743771754084
manual,sphere,complete,12,1,45,14,0.48356691391779111,1,0.53360354656640796,0.16522848376411148
manual,sphere,complete,12,2,45,14,0.38865169416432482,1.5579736011086127,0.40975717052597871,0.14379586163006158
manual,sphere,complete,12,3,45,14,0.3436850205028964,2.0070725112271757,0.34227347238067429,0.12445800338535883
manual,sphere,complete,12,4,45,14,0.31368966821024075,2.4011779219851186,0.29520991480683478,0.10707297221971185
manual,sphere,complete,12,5,45,14,0.29119589880347274,2.7591886425960106,0.25866498691207784,0.091504563765868394
